time,sensor_A,sensor_B
0,10.941575348528128,15.326120469428776
1,11.761885193778149,16.168942330090545
2,13.620793221482401,15.758637430213307
3,14.7806654426404,13.075703612186315
4,15.507958147368601,12.623459306512057
5,13.926140200733068,10.788434982949122
6,10.274987197771985,10.005457614384534
7,8.11208217607621,8.632338835223564
8,6.689613507347233,7.92931585027557
9,5.419389096847555,8.874069670446676
10,5.393591392262122,8.835725121253455
11,6.621417459251068,11.433861468429837
12,8.255638579139688,12.275178663593953
13,10.85802316457826,14.79869854944118
14,13.621080372100161,15.305994432161556
15,14.305041846651037,16.110305742247373
16,14.60962490278822,15.988654954169945
17,13.674512523928012,15.815806608872549
18,12.348887834516255,14.32925588034002
19,9.822247754021776,12.458508615963765
